Time,Channel A,Channel B
(us),(mV),(V)

-0.96597836,-29.77081000,-2.19931700
-0.91597836,-28.80947000,-2.10791300
-0.86597836,-26.93258000,-2.00033600
-0.81597836,-24.62844000,-1.90405000
-0.76597837,-22.58370000,-1.78991100
-0.71597837,-21.24088000,-1.68675800
-0.66597837,-19.63866000,-1.56727800
-0.61597838,-18.23481000,-1.46168400
-0.56597838,-16.29688000,-1.33747400
-0.51597838,-14.26740000,-1.22608100
-0.46597838,-12.57363000,-1.09820900
-0.41597839,-11.62755000,-0.98635820
-0.36597839,-10.05585000,-0.85436560
-0.31597839,-8.28577500,-0.73595390
-0.26597840,-6.60725700,-0.60106210
-0.21597840,-5.40177600,-0.48387100
-0.16597840,-3.96740600,-0.34821620
-0.11597841,-2.70088800,-0.22858360
-0.06597841,-1.17496300,-0.09125035
-0.01597841,0.24414810,0.02883999
0.03402159,1.63274000,0.16632590
0.08402158,2.67036900,0.28595840
0.13402158,3.98266500,0.42359690
0.18402158,5.21866500,0.54445020
0.23402157,6.57673800,0.67995240
0.28402157,7.69066400,0.79546490
0.33402157,9.18607000,0.92867820
0.38402156,10.48311000,1.04586900
0.43402156,13.45866000,1.17557300
0.48402156,16.05273000,1.28544000
0.53402156,32.95999000,1.40507200
0.58402155,61.55583000,1.50318900
0.63402155,77.08975000,1.61992300
0.68402155,76.90664000,1.72521100
0.73402154,79.66856000,1.84163900
0.78402154,83.31552000,1.94006200
0.83402154,86.30634000,2.05130200
0.88402154,87.87804000,2.14713000
0.93402153,90.33479000,2.25196100
0.98402153,92.97463000,2.33924400
1.03402153,95.84338000,2.43659800
1.08402152,98.26960000,2.51915000
1.13402152,100.86370000,2.60872200
1.18402152,102.86260000,2.68272900
1.23402151,105.71610000,2.76436700
1.28402151,108.70690000,2.83303300
1.33402151,111.54510000,2.90643000
1.38402151,113.52880000,2.96609400
1.43402150,116.26030000,3.03003000
1.48402150,119.05270000,3.08175900
1.53402150,121.93670000,3.13608200
1.58402149,124.21030000,3.17896100
1.63402149,127.15540000,3.22367000
1.68402149,130.03940000,3.25922400
1.73402148,133.04540000,3.29416800
1.78402148,135.42590000,3.31965100
1.83402148,138.30990000,3.34376000
1.88402148,140.91920000,3.36039300
1.93402147,143.86430000,3.37382100
1.98402147,146.36680000,3.38068800
2.03402147,149.31180000,3.38465500
2.08402146,151.96690000,3.38480800
2.13402146,154.69830000,3.37839900
2.18402146,156.83460000,3.36741200
2.23402145,159.55080000,3.35001700
2.28402145,162.14480000,3.33079000
2.33402145,164.95250000,3.30332400
2.38402145,167.27190000,3.27463600
2.43402144,169.88130000,3.23618300
2.48402144,172.10910000,3.19788200
2.53402144,174.52010000,3.14996800
2.58402143,176.48850000,3.10449500
2.63402143,178.76220000,3.04757800
2.68402143,180.74590000,2.99340800
2.73402143,182.85160000,2.92687800
2.78402142,184.53020000,2.86492500
2.83402142,186.25440000,2.78893400
2.88402142,187.55150000,2.71813100
2.93402141,189.24530000,2.63374700
2.98402141,190.89330000,2.55714600
3.03402141,192.41920000,2.46467500
3.08402140,193.45680000,2.37983300
3.13402140,194.83020000,2.28034300
3.18402140,196.20350000,2.19168700
3.23402140,197.31740000,2.08533000
3.28402139,197.89730000,1.98828100
3.33402139,198.61450000,1.87444700
3.38402139,199.27060000,1.77221000
3.43402138,199.86570000,1.65395100
3.48402138,200.26250000,1.54973000
3.53402138,200.58290000,1.42643500
3.58402137,200.73550000,1.31565300
3.63402137,200.87280000,1.18778000
3.68402137,200.99490000,1.07547200
3.73402137,200.73550000,0.94378490
3.78402136,200.14040000,0.82644120
3.83402136,199.77420000,0.69246500
3.88402136,199.75890000,0.57588430
3.93402135,199.04170000,0.44007690
3.98402135,197.79050000,0.31968140
4.03402135,196.79860000,0.18204290
4.08402135,196.34080000,0.06195258
4.13402134,195.18110000,-0.07522812
4.18402134,193.68570000,-0.19455550
4.23402134,191.94620000,-0.33173620
4.28402133,190.35920000,-0.45182650
4.33402133,188.57390000,-0.58763390
4.38402133,187.06320000,-0.70436720
4.43402132,184.83530000,-0.83880120
4.48402132,182.40910000,-0.95675530
4.53402132,180.10500000,-1.08798500
4.58402132,178.51800000,-1.19922500
4.63402131,175.92390000,-1.32648700
4.68402131,172.96360000,-1.43742200
4.73402131,170.15590000,-1.56071700
4.78402130,168.23330000,-1.66509000
4.83402130,165.24240000,-1.78304400
4.88402130,161.99220000,-1.88451800
